season,HomeTeam,AwayTeam,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,MW,HTFormPts,ATFormPts,HTGD,ATGD,DiffPts,DiffFormPts,HomeLeaguePosition,AwayLeaguePosition,LeaguePositionDiff,MatchDayDay,MatchDayMonth,MatchDayDate,match_prediction,Home Prediction,Away Prediction,Result Prediction
1995-96,Leeds,Arsenal,2,14.0,10.0,9.0,5.0,1.7777777777777777,1.6666666666666667,W,L,W,W,L,W,L,W,D,D,9.0,7,10,0.5555555555555556,0.5555555555555556,0.1111111111111111,-0.3333333333333333,4,6,-2,Saturday,October,14,2,0,2,A
1995-96,Liverpool,Coventry,1,15.0,7.0,7.0,17.0,1.7777777777777777,0.6666666666666666,D,L,W,L,W,L,L,D,W,D,9.0,10,2,0.8888888888888888,-1.1111111111111112,1.1111111111111112,0.8888888888888888,5,16,-11,Saturday,October,14,1,0,0,D
1995-96,Man United,Man City,0,16.0,3.0,10.0,14.0,1.8888888888888888,0.1111111111111111,D,L,D,L,W,L,W,L,W,L,9.0,11,0,0.6666666666666666,-1.2222222222222223,1.7777777777777777,1.2222222222222223,2,20,-18,Saturday,October,14,0,1,0,H
1995-96,QPR,Newcastle,2,7.0,17.0,12.0,4.0,1.0,2.3333333333333335,W,W,L,W,W,W,L,L,L,W,9.0,6,12,-0.5555555555555556,1.4444444444444444,-1.3333333333333333,-0.6666666666666666,12,1,11,Saturday,October,14,2,1,2,A
1995-96,Tottenham,Nott'm Forest,2,14.0,14.0,11.0,9.0,1.5555555555555556,1.5555555555555556,W,W,W,D,W,W,W,D,D,D,9.0,13,9,0.3333333333333333,0.5555555555555556,0.0,0.4444444444444444,8,9,-1,Saturday,October,14,2,0,1,A
1995-96,Sheffield Weds,Middlesbrough,2,8.0,9.0,11.0,4.0,0.8888888888888888,1.6666666666666667,L,W,D,W,L,W,W,D,D,D,9.0,5,11,-0.3333333333333333,0.5555555555555556,-0.7777777777777778,-0.6666666666666666,13,7,6,Sunday,October,15,2,0,1,A
1995-96,Wimbledon,West Ham,2,13.0,7.0,16.0,11.0,1.1111111111111112,0.6666666666666666,L,D,L,W,L,L,W,L,D,D,9.0,4,5,-0.3333333333333333,-0.4444444444444444,0.4444444444444444,-0.1111111111111111,11,18,-7,Monday,October,16,2,1,2,A
1995-96,Arsenal,Aston Villa,0,13.0,12.0,5.0,6.0,1.8,1.7,W,L,L,W,W,D,W,W,W,D,10.0,12,8,0.8,0.6,0.1,0.4,4,5,-1,Saturday,October,21,0,1,0,H
1995-96,Chelsea,Man United,2,10.0,17.0,7.0,10.0,1.5,2.0,W,W,W,D,L,D,W,W,W,W,10.0,12,11,0.3,0.7,-0.5,0.1,9,2,7,Saturday,October,21,1,1,3,A
1995-96,Coventry,Sheffield Weds,2,7.0,8.0,17.0,12.0,0.7,0.8,D,L,L,L,L,D,L,L,D,W,10.0,2,4,-1.0,-0.4,-0.1,-0.2,17,15,2,Saturday,October,21,2,0,1,A
